id	en1	jp1	en2	jp2	level	similar
5236	meteor	流星	I saw a meteor shower streaking across the night sky.	流星群が夜空を横切るのを見ました。	2	[8716,5593,5073,2212,10732]
5237	informant	情報提供者	The informant provided crucial testimony to the police.	その情報提供者は、警察に重要な証言をしました。	2	[5931,4699,7032,8699,9804]
5238	retina	網膜	The retina is a crucial part at the back of the eye that plays a key role in processing visual information.	網膜は目の奥にある非常に重要な部分で、視覚を処理する役割を担っています。	2	[2272,5150,2204,5646,4477]
5239	attribute A to B	AをBに帰属させる	He attributes his success to his hard work.	彼は自分の成功は懸命な努力のおかげだと考えている。	1	[3373,8406,7620,5264,6802]
5240	abduction	誘拐	His abduction case became national news.	彼の誘拐事件は全国ニュースになりました。	2	[7250,6714,7638,10471,4461]
5241	cliche	クリシェ、決まり文句	The movie relied too heavily on clichés, which made it feel stale.	その映画は古いクリシェを使いすぎて、新鮮さが欠けてしまいました。	2	[3302,3253,3466,8417,8345]
5242	kinship	親族関係、血縁	They cherish each other because of their close kinship.	彼らは深い親族関係を持っているため、お互いを大切に思っています。	2	[5490,1969,6859,8358,5366]
5243	respite	一時的な休息、しばしの静寂	Taking a brief respite during work helps me refresh.	仕事の合間に短い休息を取ることで、リフレッシュできます。	2	[1846,3702,2042,10374,756]
5244	snarl	うなる、唸る	The dog snarled to warn the intruder.	犬は縄張りに侵入者がいると唸りながら威嚇しました。	2	[8113,5936,3933,6587,5040]
5245	gloom	憂鬱、陰気	Her expression was filled with gloom.	彼女の表情には憂鬱な雰囲気が漂っていました。	2	[6740,6764,2244,6984,6516]
5246	centerpiece	中心飾り	The centerpiece on the table features a beautiful bouquet of flowers.	テーブルの中心飾りには、美しい花束が飾られています。	2	[10364,10882,3668,7711,3900]
5247	platoon	小隊	The platoon trained together to enhance their tactics.	小隊は連携して訓練を行い、戦術を習得しました。	2	[5235,5648,8720,5175,5070]
5248	pollen	花粉	Pollen is carried by the wind to help with the pollination of plants.	花粉は風に運ばれて植物の受粉を助けます。	2	[3826,2531,4909,4673,5582]
5249	inception	開始、創始	This film explores the concept of inception, planting a dream within a dream.	この映画は夢の中に夢を入れるという概念を探求しています。	2	[348,9679,5613,2824,6413]
5250	genealogy	系譜学、家系	Genealogy is an important tool for tracing family and ancestral history.	系譜学は、家族や先祖の歴史をたどるための重要な手段です。	2	[1010,726,6079,1316,10682]
5251	insurgency	反乱、暴動	The insurgency sparked a large-scale armed conflict against the government.	反乱は政府に対する大規模な武力闘争を引き起こしました。	2	[5470,5932,81,5893,7174]
5252	remorse	後悔、良心の呵責	He felt a deep sense of remorse for his actions.	彼は自分の行動に対して強い後悔の念を抱いていました。	2	[5030,3317,3846,2137,7964]
5253	go about	取り組む、行動する	He is thinking about how to go about the new project.	彼は新しいプロジェクトにどのように取り組むべきかを考えています。	1	[3033,3395,2735,3454,2351]
5254	curator	キュレーター、館長	The curator at the art museum is preparing for a new exhibition.	美術館のキュレーターは新しい展覧会を準備しています。	2	[6676,10543,6445,10259,10039]
5255	show up	現れる、姿を見せる	He showed up late to the party.	彼はパーティーに遅れて現れました。	1	[1057,9764,6622,4108,10833]
5256	refinery	精製所	The refinery produces various products from crude oil.	石油精製所では、原油から様々な製品が作られます。	2	[7128,7992,8777,690,1048]
5257	iceberg	氷山	Most of the iceberg is hidden beneath the water, so you can't judge its size just by the visible part.	氷山の大部分は水の下に隠れているため、見える部分だけではその大きさを判断することはできません。	2	[992,1847,933,10301,2179]
5258	savior	救世主	He is known as a savior who brings hope to many people.	彼は多くの人々に希望を与える救世主として知られています。	2	[5600,7972,961,4003,5810]
5259	conjure	魔法をかける、想起させる	She used old photos to conjure up memories.	彼女は思い出を呼び起こすために古い写真を使いました。	2	[5558,5952,2287,4857,2464]
5260	galvanize	刺激する、活気づける	The speech galvanized the team and helped them achieve outstanding results.	そのスピーチはチームを刺激し、素晴らしい成果を上げる手助けをしました。	2	[7937,5807,5810,4575,6334]
5261	garnish	飾り付け、付け合わせ	I garnished the dish with parsley to add a touch of color.	料理には彩りを添えるためにパセリを飾り付けました。	2	[295,1449,1971,2240,8617]
5262	existential	存在的	He began to ponder deeply about the existential meaning of life.	彼は人生の存在的な意味について深く考え始めた。	2	[5836,4188,6020,6828,5157]
5263	advise A on B	助言する、助言を与える	He advised her on how to write a resume for her job search.	彼は彼女に就職活動のための履歴書の書き方について助言しました。	1	[3840,5653,5874,327,423]
5264	ascribe	帰属させる、付随させる	He ascribed his success to his mentor.	彼はその成功を彼の指導者に帰属させました。	2	[5239,5562,3373,5637,2806]
5265	vengeance	復讐	He vowed to take vengeance on those who had harmed his family.	彼は家族を傷つけた者たちに復讐を誓いました。	2	[4876,5628,935,2861,2792]
5266	brash	大胆、無神経な	His brash behavior surprised those around him.	彼の無神経な行動は周りの人を驚かせました。	2	[6473,684,4409,3842,4858]
5267	goofy	おかしな、間抜けな	He always does goofy things that make everyone laugh.	彼はいつもおかしなことをしてみんなを笑わせています。	2	[2304,2583,3990,9267,7826]
5268	implacable	容赦ない、無情な	Her implacable attitude showed that no one could stop her.	彼女の無情な態度は、誰も彼女を止めることができないことを示していました。	2	[3362,10723,3515,9205,917]
5269	poignant	心に響く、感情的に痛みを伴う	The film had a poignant story that left everyone in tears.	その映画は心に響くストーリーで、誰もが涙を流しました。	2	[9521,1569,5815,6178,5542]
5270	deterrent	抑止力	Strict laws serve as a deterrent to crime.	厳しい法律は犯罪の抑止力となります。	2	[1269,5804,7389,5034,10060]
5271	take pride in	自信を持つ、誇りに思う	She takes pride in her work and is proud of her achievements.	彼女は自分の仕事に自信を持っており、その成果を誇りに思っています。	1	[972,275,659,5439,4499]
5272	just around the corner	すぐ近くに	The holidays are just around the corner, so it's time to start planning your celebrations.	休暇がすぐ近くに迫っているので、祝い事の計画を始める時です。	1	[10897,9338,10090,9131,10280]
5273	pertinent	関連する、適切な	His comments were very pertinent to the discussion.	彼の意見は議論にとても関連していました。	1	[5465,1722,10175,4305,7788]
5274	punitive	懲罰的な	The government decided to take punitive measures against the offenders.	政府は違反者に対して懲罰的な措置を取ることを決定しました。	2	[4913,4566,5804,3575,7629]
5275	disband	解散する	They decided to disband the team as their activities came to an end.	彼らは活動が終了したため、チームを解散することに決めました。	2	[5158,6348,4276,5856,2847]
5276	lofty	高い、崇高な	He is striving towards lofty goals with grand dreams.	彼は壮大な夢を抱いて、高い目標に向かって努力しています。	1	[6576,843,4651,6225,3027]
5277	glowing	光る、輝く	Her smile was glowing, even in the darkness.	彼女の笑顔は、暗闇の中でさえも輝いていました。	2	[2337,467,1745,5043,2973]
5278	therein	その中に	The book is filled with wonderful knowledge, and therein lie many treasures.	その本には素晴らしい知識が詰まっており、その中に多くの宝が隠されています。	2	[6131,873,7479,265,5534]
5279	cerebral	頭脳の、知的な	He is a very cerebral person who can solve complex problems with ease.	彼は非常に頭脳の明晰な人で、難しい問題を簡単に解決します。	2	[6475,352,3390,6922,6648]
5280	abet	教唆する	He was arrested for abetting his friend's crime.	彼は友人の犯罪を教唆したとして逮捕されました。	2	[7532,7675,7869,5596,3212]
5281	vanguard	前衛	He introduced a new style as a vanguard in the music scene.	彼は音楽界の前衛として新しいスタイルを導入しました。	2	[2385,5290,5768,6699,6062]
5282	adjoining	隣接する、隣接の	His house is built on the adjoining lot.	彼の家は隣接する敷地に建っています。	2	[8155,6306,4958,7085,3889]
5283	eerie	不気味な、恐ろしい	The old house looked eerie under the moonlight.	その古い家は、月明かりの下で不気味に見えました。	2	[5434,4902,5149,9669,3816]
5284	stagnant	停滞した、動かない	The water in the lake appeared stagnant after sitting still for a long time.	湖の水は長い間動かず、すっかり停滞しているように見えた。	2	[1897,7650,6261,1409,2414]
5285	contingent	偶発的、条件付き	Our project is contingent on the approval of the budget.	私たちのプロジェクトは、予算が承認されることに偶発的に依存しています。	2	[8535,5342,7773,10005,1906]
5286	latent	潜在的な、隠れた	His talent is latent and has not yet come to the surface.	彼の才能は潜在的なもので、まだ表に出ていません。	2	[5773,5864,3643,5592,6425]
5287	prescribed	処方された	The doctor prescribed me a new medication.	医者は私に新しい薬を処方しました。	2	[3736,10030,5886,4102,7343]
5288	staggering	驚くべき、よろめく	She was nearly staggering from the staggering news.	彼女はその驚くべきニュースに思わずよろめきそうになった。	2	[3022,3113,1752,3772,2646]
5289	as it stands	現状では、そのまま	As it stands, we do not have an adequate plan to address this issue.	現状では、私たちはこの問題に対処するための適切な計画を持っていません。	1	[3427,7721,7013,5917,6068]
5290	daring	大胆な、思い切った	He made a daring decision and paved a new path.	彼は大胆な決断を下し、新しい道を切り開きました。	1	[5970,8061,8734,5725,6062]
5291	wreckage	残骸、破壊されたもの	After the accident, a large amount of wreckage washed ashore.	事故の後、海岸には大量の残骸が漂着しました。	2	[7849,4555,8787,4218,6698]
5292	flop	失敗、つまずき	The movie was supposed to be a blockbuster, but it ultimately became a flop.	その映画は期待外れで、大ヒット作になるはずだったが、結局大失敗に終わりました。	2	[6414,4733,5241,8345,3253]
5293	incite	扇動する、鼓動させる	He made a statement that incited a riot.	彼は暴動を扇動する発言をした。	2	[8151,7603,5145,8096,4891]
5294	pursuant	準拠して、従って	All proceedings were conducted pursuant to the terms of the contract.	契約書の条項に準拠して、全ての手続きが進められました。	2	[2313,7943,3513,2695,7558]
5295	warhead	弾頭	The ballistic missile is equipped with a sophisticated warhead.	弾道ミサイルは、高度な技術を持つ弾頭を搭載しています。	2	[3374,5417,927,2386,3169]
5296	interdisciplinary	学際的	Her research focuses on an interdisciplinary approach that bridges science and art.	彼女の研究は、科学と芸術の学際的なアプローチに焦点を当てています。	2	[8452,3435,2217,2115,5054]
5297	scathing	厳しい、辛辣な	He published a scathing review of the movie.	彼はその映画についての厳しい批評を発表しました。	2	[1472,8751,1011,3701,6917]
5298	tyrant	暴君、圧政者	He was known as a tyrant who ruled the nation with fear.	彼は国民を恐怖で支配する暴君として知られていました。	2	[8052,8002,5032,6081,6105]
5299	astute	鋭敏な、機敏な	His astute observation allowed him to solve the problem quickly.	彼の鋭敏な観察力のおかげで、問題をすぐに解決することができました。	2	[3390,5333,6362,6499,5790]
5300	on average	平均して	On average, he runs 5 kilometers every day.	平均して、彼は毎日5キロメートル走ります。	1	[1391,7098,149,5801,9939]
5301	orbital	軌道の	The orbital path of the planet is determined by the force of gravity.	惑星の軌道は、重力の影響を受けて定まっています。	2	[2028,7918,7550,8869,7267]
5302	alias	別名、仮名	He uses an alias for his professional dealings.	彼は仕事の関係で別名を使っています。	2	[4994,2572,8812,6435,7828]
5303	fumble	手こずる、もつれる	He fumbled the ball and dropped it on the ground.	彼はボールを手こずりながら地面に落としてしまった。	2	[3873,5134,5080,78,8487]
5304	whirlwind	旋風	The whirlwind swept through the town, lifting everything in its path.	旋風が町を通り抜けて、あらゆるものを巻き上げました。	2	[1939,6338,4946,9876,5582]
5305	detach	切り離す、分離する	He started a new hobby to detach himself from the pain in his heart.	彼は心の痛みを切り離すために、新しい趣味を始めました。	2	[5037,6493,3827,8038,1380]
5306	unjust	不当、不正	She decided to speak up against the unjust treatment she received.	彼の不当な扱いに対して、彼女は声を上げることに決めました。	2	[2182,5340,6640,7833,6155]
5307	textual	テキストの、文字の	Understanding the textual content is essential for effective communication.	テキストの内容を理解することは、効果的なコミュニケーションに欠かせません。	2	[1193,6368,190,9139,4797]
5308	sleek	つやのある、洗練された	The new sports car has a sleek design that is very appealing.	その新しいスポーツカーはつやのあるデザインでとても魅力的です。	2	[1250,4085,4430,9894,8353]
5309	amply	十分に、たっぷりと	He prepared for the exam amply, ensuring he was ready for any questions.	彼は十分に余裕を持って試験の準備をしました。	2	[5816,3751,10224,59,1288]
5310	makeshift	代用品、仮の	He used some cardboard to create a makeshift table.	彼は代用品のテーブルを作るためにいくつかの段ボールを使いました。	2	[6196,9110,1591,5552,8229]
5311	in order	順序、ために	He decided to study every day in order to pass the exam.	彼は試験に合格するために、毎日勉強することにしました。	1	[3634,59,3460,2896,5350]
5312	unconventional	型破り、常識にとらわれない	She led the project to success with her unconventional ideas.	彼女は型破りなアイデアでプロジェクトを成功に導きました。	1	[2017,4585,5820,4323,5484]
5313	intestinal	腸の	Maintaining intestinal health is crucial for overall well-being.	腸の健康を保つことは、全身の健康にとって重要です。	2	[5144,4957,2272,6166,10266]
5314	retrospective	回顧的な	From his retrospective perspective, we were able to gain new insights into past events.	彼の回顧的な視点から、過去の出来事を新たに理解することができました。	2	[328,5558,7941,10173,3495]
5315	sleazy	薄汚い、ずるい	He tried to deceive others using sleazy tactics.	彼は薄汚い手段で他人を騙そうとしました。	2	[6733,8227,7028,4862,2596]
5316	forestall	防ぐ、先手を打つ	He tried to forestall the situation by taking measures before the problem worsened.	彼は問題が悪化する前に対策を講じることで、事態を防ごうとした。	2	[3347,6224,2563,3137,8438]
5317	forgo	辞退する、差し控える	He decided to forgo dining at the upscale restaurant to save on his travel budget.	彼は旅行の予算を節約するために、高級レストランでの食事を辞退することに決めました。	2	[3367,394,2393,2539,5335]
5318	canine	犬科の動物	She started reading a book about canine animals.	彼女は犬科の動物についての本を読み始めました。	2	[8045,127,6741,2024,1319]
5319	bring A in	持ち込む、導入する	Bringing in new technology has greatly improved efficiency in operations.	新しい技術を業務に持ち込むことで、効率が大幅に向上しました。	1	[675,10330,1647,10000,4851]
5320	savvy	賢い、精通した	He made a savvy choice because he is well-versed in the business world.	彼はビジネスの世界に精通しているので、非常に賢い選択をしました。	2	[4291,2769,7828,4684,7586]
5321	deft	器用な、手際の良い	She deftly crafted handmade jewelry.	彼女は器用に手作りのアクセサリーを作り上げました。	2	[9313,2158,7156,1694,6978]
5322	nimble	素早い、軽快な	She moved nimbly, easily leaping over the obstacles.	彼女は素早く動き回り、障害物を軽快に飛び越えました。	2	[2739,3238,4537,8620,6034]
5323	auditory	聴覚の	He has an exceptional auditory talent and can memorize melodies instantly.	彼は聴覚に優れた才能を持っており、音楽のメロディーをすぐに記憶することができます。	2	[462,807,6425,1244,280]
5324	accrue	蓄積する、増加する	He is able to accrue wealth gradually through his monthly savings.	彼は毎月の貯金を通じて資産を徐々に蓄積しています。	2	[2731,4684,6399,3367,365]
5325	dearly	心から、愛おしく	She works hard for her family, whom she loves dearly.	彼女は心から愛おしく思っている家族のために努力しています。	2	[481,3345,1473,8356,4273]
5326	ostensibly	表向きは、見かけ上の	He is ostensibly working for the benefit of his friend, but in reality, he is acting for his own gain.	彼は表向きは友人のために働いているが、実際には自分の利益のために行動している。	2	[2596,2572,3602,4051,5076]
5327	incompatible	不適合、相容れない	This software is incompatible with your operating system.	このソフトウェアはあなたのオペレーティングシステムと不適合です。	2	[8888,10255,5225,10844,5452]
5328	obsessive	執着の強い	She has an obsessive attitude towards success.	彼女は成功に対して執着の強い態度を持っています。	2	[4161,6294,10723,659,1724]
5329	prodigious	膨大な、驚異的な	His prodigious talent amazed people all over the world.	彼の膨大な才能は、世界中の人々を感嘆させました。	2	[3086,1151,8536,3643,3718]
5330	fickle	気まぐれな、変わりやすい	His fickle nature often confuses his friends.	彼の気まぐれな性格は、友人たちを困惑させることがよくあります。	2	[3576,3309,2808,6473,4901]
5331	inscribe	刻む、銘記する	He chose to inscribe a message on the pendant for the special occasion.	彼は特別な機会のためにペンダントにメッセージを刻みました。	2	[5093,1178,8548,3824,3326]
5332	ambivalent	相反する感情を持つ	She felt ambivalent about the proposal, unsure of how to make a decision.	彼女はその提案に対して相反する感情を持っていて、どう決断すべきか迷っていました。	2	[2083,5902,7341,10042,4782]
5333	canny	狡猾な、賢い	He solved the problem in a canny way.	彼は狡猾な方法で問題を解決しました。	2	[3390,1609,5790,5299,6499]
5334	deplete	使い果たす、枯渇させる	If we excessively use resources, we will deplete them.	私たちは過剰に資源を利用すると、それらを使い果たしてしまいます。	2	[4251,4272,6347,7077,4184]
5335	charred	焦げた	He decided to avoid eating the charred toast.	彼は焦げたトーストを食べることを避けました。	2	[1738,6171,4907,5317,3953]
5336	disparate	異なる、相容れない	Their opinions were so disparate that it was difficult to reach an agreement.	彼らの意見はあまりにも異なっていたため、合意に達するのは難しかった。	2	[2727,1400,7495,4865,7385]
5337	put A into place	Aを所定の位置に置く	He put the book into place on the shelf.	彼は本を棚に所定の位置に置きました。	1	[5085,1719,3338,3935,2063]
5338	turn away	背ける	She couldn't help but turn away when she heard the sad news.	彼女は悲しいニュースを聞いて、思わず顔を背けてしまった。	1	[2646,625,3772,9631,4809]
5339	hideous	ひどい、非常に醜い	The building has a hideous design that ruins the beauty of the cityscape.	その建物はひどいデザインで、街の景観を台無しにしている。	2	[6782,2893,7133,5430,3854]
5340	irate	怒り狂った	He was irate about the unfair treatment.	彼はその不公平な処遇に怒り狂っていました。	2	[7833,3468,8017,6392,5306]
5341	capitulate	降伏する、屈服する	The enemy forces finally capitulated after being cut off from supplies.	敵軍が補給を断たれ、ついに降伏しました。	2	[5954,4939,8327,7949,4338]
5342	limit A to B	制限する、制約する	We need to limit the project's budget to B.	このプロジェクトの予算をBに制限する必要があります。	1	[10762,5285,8535,6900,8743]
5343	speculative	投機的な、投機に関する	Investors are buying speculative stocks, hoping for significant profits.	投資家は投機的な株を購入し、大きな利益を期待しています。	2	[4859,1360,4532,10158,3289]
5344	vet	獣医、獣医師	The vet examined the sick dog.	獣医は病気の犬を診察しました。	2	[8257,5370,8944,2694,8757]
5345	frigid	寒冷な、凍えるような	It was so frigid outside that I decided to bundle up in a warm coat.	外は非常に寒冷なので、私はしっかりとコートを着込むことにしました。	2	[105,3918,2200,9277,8798]
5346	push A back	押し戻す	He decided to push his anxiety back and remain calm.	彼は不安を押し戻して冷静になることにした。	1	[3154,3036,2563,589,4753]
5347	flounder	ナマズ、もがく	He began to flounder as he struggled to find direction in the new project.	彼は新しいプロジェクトに取り組む中で、方向を見失ってもがいていました。	2	[5833,3454,5253,5569,3033]
5348	leisurely	ゆったりとした、のんびりとした	We plan to enjoy a leisurely stroll on the weekend.	私たちは週末にゆったりとした散歩を楽しむつもりです。	2	[5935,9064,5064,9039,9389]
5349	align	整列、調整	I adjusted everything to ensure all the parts align correctly.	全ての部品が正しく整列するように調整しました。	1	[3739,2773,5873,4050,10819]
5350	hit the books	勉強する	He decided to hit the books every night since the exams were approaching.	試験が近づいているので、彼は毎晩遅くまで勉強することに決めました。	1	[5602,5311,3634,2896,2666]
5351	affiliated	提携した、関連した	She is working on a new project affiliated with several companies.	彼女は多くの企業と提携して新しいプロジェクトに取り組んでいます。	2	[7761,3395,3061,2627,254]
5352	gild	金メッキする、装飾する	He gilded the old furniture to make it beautifully decorative.	彼は古い家具を金メッキして、美しく装飾しました。	2	[5184,6284,978,1591,6384]
5353	fit A with B	適合させる、合わせる	He fitted the new tires onto the bicycle.	彼は新しいタイヤを自転車にはめ込みました。	1	[1797,96,8071,1223,1525]
5354	upheaval	動乱、激変	The country faced great upheaval as people rose up seeking a new future.	国に大きな動乱が起こり、人々は新しい未来を求めて立ち上がりました。	2	[8366,5893,6631,7136,81]
5355	contemplative	考察的、熟考的	She spent a contemplative time in the quiet park.	彼女は静かな公園で考察的な時間を過ごしていました。	2	[5935,3690,4064,3011,8901]
5356	dissipate	消散する、散逸する	The mist began to dissipate in the light of the sun.	霧が太陽の光に照らされて徐々に消散していきました。	2	[1021,302,8235,2255,8201]
5357	respiratory	呼吸器系の	She has been visiting the doctor daily due to a respiratory illness.	彼女は呼吸器系の病気にかかり、毎日のように医者に通っています。	2	[5226,10520,4484,2373,1568]
5358	amidst	真ん中、真っ最中	He continued to think quietly amidst the noise.	彼は騒音の真ん中で静かに考え続けました。	2	[3008,4688,1328,1814,8684]
5359	parking lot	駐車場	There were many cars parked in the parking lot.	駐車場には多くの車が止まっていました。	1	[2711,862,7750,9172,9113]
5360	trinity	三位一体	The Trinity is a fundamental belief in Christianity, comprising the Father, the Son, and the Holy Spirit.	キリスト教において、父、子、聖霊の三位一体が重要な信仰の基盤となっています。	2	[4941,7770,3348,7150,8065]
5361	infringe	侵害する、違反する	That action infringes upon the rights of others.	その行為は他人の権利を侵害しています。	2	[2535,6118,2395,7879,4194]
5362	state of the art	最新鋭の技術	This new smartphone is designed with state of the art technology.	この新しいスマートフォンは、最新鋭の技術を駆使して設計されています。	1	[7228,5232,10067,5692,828]
5363	wrath	怒り、憤怒	His wrath peaked when he discovered that his friend had betrayed him.	彼の怒りは、友人裏切られたことで頂点に達しました。	2	[7249,8472,4820,5964,2891]
5364	dazzling	眩しい、きらめく	Her dress was dazzling with bright lights.	彼女のドレスは眩しい光を放っていました。	2	[2426,4660,3473,6280,6923]
5365	ghastly	恐ろしい、ゾッとする	The movie had so many ghastly scenes that the entire audience was horrified.	その映画は恐ろしいシーンが多くて、観客全員がゾッとしました。	2	[8202,2322,6411,6304,6178]
5366	intimately	親密に、詳細に	They understand each other intimately.	彼らは互いのことを親密に理解している。	2	[8358,6859,8894,5242,8050]
5367	in particular	特に、特有に	We need to think seriously about environmental issues in particular.	私たちは、特に環境問題について真剣に考える必要があります。	1	[8737,9190,4832,5985,6429]
5368	genteel	上品な、優雅な	She attended the party in a genteel outfit.	彼女は上品な服装でパーティーに参加しました。	2	[2767,3749,7368,2352,320]
5369	addictive	中毒性のある	The game is so addictive that you can play it for hours on end.	そのゲームは中毒性があり、何時間でもプレイしてしまいます。	2	[3100,6476,9560,759,9923]
5370	rabid	狂犬病の、過激な	He was bitten by a rabid dog.	彼は狂犬病に感染した犬に噛まれてしまった。	2	[8058,2882,5519,3933,7446]
5371	clinch	決める、確定する	He clinched the victory by scoring the goal in the final moments of the match.	彼は試合の最後の瞬間にゴールを決めて、勝利を決めました。	2	[9629,8496,3013,3601,905]
5372	malign	悪意のある、毀損する	He continued to malign others by spreading malicious rumors.	彼は他人を悪く言うことをやめず、悪意のある噂を広めました。	2	[8404,2793,5446,3610,5315]
5373	quintessential	典型的な、最も重要な	She is the quintessential Japanese student.	彼女は最高の典型的な日本の学生です。	2	[596,3890,680,157,3927]
5374	loot	略奪品、戦利品	After attacking the enemy's castle, they acquired a large amount of loot.	敵の城を攻撃した後、彼らは大量の略奪品を手に入れました。	2	[5553,2492,5522,7479,7949]
5375	martian	火星人	The Martian visited Earth and made friendly contact with humanity.	火星人が地球に訪れて、人類に友好的に接触しました。	2	[7267,10408,5048,7024,3851]
5376	womb	子宮	The womb is the place where a new life is nurtured in a woman's body.	女性の子宮は新しい生命を育むための場所です。	2	[6253,6255,1230,2520,10384]
5377	admirable	称賛すべき、素晴らしい	Her courageous actions are truly admirable.	彼女の勇気ある行動は、本当に称賛すべきものです。	2	[7369,952,286,7255,122]
5378	acquit	無罪放免、釈放する	He was acquitted due to insufficient evidence.	彼は証拠不十分で無罪放免になりました。	2	[3179,7438,6195,7779,2961]
5379	be laid up	療養中である、寝込んでいる	He has been laid up for a few days because of a cold.	彼は風邪のために数日間療養中です。	1	[6103,6267,1369,6781,459]
5380	fret	心配する、悩む	He couldn't sleep at night, fretting about his exam results.	彼は試験の結果を心配して夜も眠れませんでした。	2	[5686,1324,3308,5350,3520]
5381	count for	数える	He makes it a habit to count the stars every night.	彼は毎晩、星の数を数えることにしています。	1	[4636,5429,433,3223,9911]
5382	fervent	熱心な、熱烈な	He is working fervently on the project.	彼は熱心にそのプロジェクトに取り組んでいます。	2	[4898,70,2439,2982,3952]
5383	touchy	敏感な、触れやすい	He becomes very angry when the topic is touchy.	彼はとても敏感な話題に触れると、すぐに怒り出しました。	2	[7443,7199,2917,6202,2260]
5384	file a suit	訴訟を起こす	He decided to file a suit against his employer for wrongful termination.	彼は不当解雇に対して訴訟を起こすことに決めました。	1	[4115,3550,2885,5191,6155]
5385	humiliating	屈辱的な	She resolved to bounce back after being put in a humiliating situation.	彼女は屈辱的な状況に置かれてしまったが、立ち直ることを決意した。	2	[7035,4327,5306,4842,4583]
5386	lavish	贅沢な	She hosted a lavish party that amazed her friends.	彼女は贅沢なパーティーを開いて、友人たちを驚かせました。	2	[5130,2203,4766,5731,4204]
5387	in development	開発中	This new app is still in development, but it is scheduled to be released next month.	この新しいアプリはまだ開発中ですが、来月公開予定です。	1	[6989,7228,2643,428,6469]
5388	disposable	使い捨て	Disposable products are convenient, but we also need to consider their impact on the environment.	使い捨ての製品は便利ですが、環境に対する影響も考える必要があります。	1	[1821,8737,4832,4238,5367]
5389	grope	手探りする、もんだりする	He groped around in the dark room and felt the wall.	彼は暗い部屋の中で手探りして、壁に触れました。	2	[1828,7962,806,7001,2983]
5390	collegiate	大学生、大学の	The collegiate students are working on their new assignments.	大学生たちは新しい課題に取り組んでいます。	2	[9954,1164,6543,4953,6382]
5391	insatiable	飽くことを知らない、満足しない	She is an insatiable reader who buys numerous books every month.	彼女は飽くことを知らない読書家で、毎月多くの本を購入しています。	2	[8045,2453,1676,6463,2129]
5392	err	誤り	He made a small error in his calculations.	彼は計算で小さな誤りを犯してしまった。	2	[10227,3451,1658,4447,1416]
5393	futile	無駄な、効果がない	He felt his efforts were futile and decided to quit his job there.	彼は努力が無駄だと感じて、そこで働くことをやめました。	2	[6071,1394,2966,2628,8610]
5394	motley	雑多な、色とりどりの	The party had a motley crowd, with people from various backgrounds contributing to its vibrant atmosphere.	そのパーティーには様々なバックグラウンドを持つ人々が集まり、実に色とりどりの雰囲気が漂っていました。	2	[7400,1401,2477,5400,2198]
5395	noteworthy	注目すべき	His research was quite noteworthy and had a significant impact on many people.	彼の研究は非常に注目すべきもので、多くの人々に影響を与えました。	1	[2766,10312,3329,5590,2115]
5396	lunge	突き出すこと、前のめりになること	He quickly made a lunge forward to dodge the attack.	彼は攻撃をかわすために素早く前に突き出しました。	2	[5187,7877,1973,6376,8919]
5397	brutally	残酷に	He attacked his opponent brutally during the match.	彼は試合で相手選手を残酷に攻撃しました。	2	[2543,2140,4393,4269,6175]
5398	detonate	爆発させる、起爆する	The police proceeded with the procedures to safely detonate the bomb.	警察は爆弾を安全に爆発させるための手順を進めました。	2	[10352,9094,5813,1689,9806]
5399	intrude	侵入する、干渉する	I felt that he was intruding on my privacy.	彼は私のプライバシーを侵入していると感じました。	2	[7879,2535,2813,3842,2289]
5400	raucous	騒がしい、耳障りな	His party was raucous and went on until late at night.	彼のパーティーは騒がしくて、夜中まで続きました。	2	[2477,1401,3567,5394,9764]
5401	mortify	屈辱を与える、恥をかかせる	He felt mortified after making a humiliating mistake.	彼は恥ずかしい失敗をして、とても屈辱的な気持ちになりました。	2	[5944,2137,1416,3846,5252]
5402	tuberculosis	結核	He needs long-term treatment because he is infected with tuberculosis.	彼は結核に感染しているため、長期的な治療が必要です。	2	[7968,2373,5925,2595,8761]
5403	coronary	冠状の	The coronary arteries play an essential role in supplying blood to the heart.	冠状動脈は心臓に血液を供給する重要な役割を果たしています。	2	[5646,2204,7377,8287,3638]
5404	exacerbate	悪化させる	His attitude served to exacerbate the situation.	彼の態度は状況をさらに悪化させてしまった。	2	[7441,6202,7559,7410,3566]
5405	horribly	ひどく、恐ろしいほどに	She was horribly affected by the accident.	彼女はその事故の影響をひどく受けていた。	2	[6698,8293,8088,8732,7463]
5406	make it	作る、製作する	He is obsessed with making his own furniture.	彼は自分だけの家具を作ることに夢中です。	1	[1591,6196,9112,9146,3829]
5407	momentarily	一瞬、しばらくの間	She replied momentarily after a brief hesitation.	彼女は一瞬のためらいの後に、答えを言った。	2	[1933,8131,7855,8674,1814]
5408	loom	織機	She is weaving beautiful fabric on an old loom.	彼女は古い織機で美しい布を織っています。	2	[1770,1191,4112,8272,9313]
5409	nibble	かじる、少しずつ食べる	The children were nibbling on snacks while watching TV.	子供たちはおやつをかじりながらテレビを見ていました。	2	[4867,8474,9245,2929,7853]
5410	vice versa	逆に、反対に	He respects her opinion, and vice versa.	彼は彼女の意見を尊重するが、逆に彼女も彼の意見を尊重しなければならない。	1	[6859,2950,2556,6137,8050]
